id,title,year,ratings,votes,length,genres,formatted_title,formatted_length
tt0043278,An American in Paris (1951),1951,7.3,10519,113 mins.,Musical|Romance,An American in Paris,113
tt0430634,Stick It (2006),2006,5.9,10512,103 mins.,Comedy|Drama|Sport,Stick It,103
tt0067927,Vanishing Point (1971),1971,7.2,10501,99 mins.,Action|Drama,Vanishing Point,99
tt0107653,Naked (1993),1993,7.9,10488,131 mins.,Drama|Comedy,Naked,131
tt0314063,Immortal (Ad Vitam) (2004),2004,5.9,10485,103 mins.,Animation|Action|Crime|Drama|Sci-Fi,Immortal (Ad Vitam),103
tt0970468,Miss Pettigrew Lives for a Day (2008),2008,7.0,10463,92 mins.,Comedy|Romance,Miss Pettigrew Lives for a Day,92
tt0183659,Pollock (2000),2000,7.1,10450,122 mins.,Biography|Drama,Pollock,122
tt0844760,Starship Troopers 3: Marauder (2008),2008,4.6,10445,105 mins.,Action|Adventure|Sci-Fi,Starship Troopers 3: Marauder,105
tt0094602,Above the Law (1988),1988,5.5,10425,99 mins.,Action|Crime|Drama|Thriller,Above the Law,99
tt0115438,2 Days in the Valley (1996),1996,6.4,10418,104 mins.,Crime|Thriller,2 Days in the Valley,104
tt0063385,Oliver! (1968),1968,7.5,10416,153 mins.,Crime|Drama|Family|Musical,Oliver!,153
tt0399327,The Man (2005),2005,5.4,10394,83 mins.,Action|Comedy|Crime,The Man,83
tt1231580,Alvin and the Chipmunks: The Squeakquel (2009),2009,4.0,10378,88 mins.,Animation|Comedy|Family|Fantasy|Music,Alvin and the Chipmunks: The Squeakquel,88
tt1284575,Bad Teacher (2011),2011,6.0,10369,92 mins.,Comedy,Bad Teacher,92
tt0089941,Runaway Train (1985),1985,7.3,10362,111 mins.,Action|Adventure|Drama|Thriller,Runaway Train,111
tt0188674,Human Traffic (1999),1999,6.7,10361,99 mins.,Comedy|Drama|Music,Human Traffic,99
tt1244754,Conviction (2010),2010,7.2,10360,107 mins.,Biography|Drama,Conviction,107
tt0101775,Drop Dead Fred (1991),1991,5.0,10354,103 mins.,Comedy|Drama|Fantasy,Drop Dead Fred,103
tt0110725,On Deadly Ground (1994),1994,3.9,10352,101 mins.,Action|Adventure|Thriller,On Deadly Ground,101
tt0110116,Immortal Beloved (1994),1994,7.2,10345,121 mins.,Biography|Drama|Music|Romance,Immortal Beloved,121
tt0433416,The Namesake (2006),2006,7.5,10336,122 mins.,Drama,The Namesake,122
tt0080360,Altered States (1980),1980,6.7,10332,102 mins.,Drama|Fantasy|Horror|Sci-Fi|Thriller,Altered States,102
tt1151359,Leaves of Grass (2009),2009,6.6,10327,105 mins.,Comedy|Crime|Drama|Thriller,Leaves of Grass,105
tt0063823,Yellow Submarine (1968),1968,7.2,10318,90 mins.,Animation|Adventure|Comedy|Family|Fantasy|Music,Yellow Submarine,90
tt0796375,You Kill Me (2007),2007,6.6,10307,93 mins.,Comedy|Crime|Romance|Thriller,You Kill Me,93
tt0066765,And Now for Something Completely Different (1971),1971,7.5,10305,88 mins.,Comedy,And Now for Something Completely Different,88
tt0489281,Stop-Loss (2008),2008,6.5,10301,112 mins.,Drama|War,Stop-Loss,112
tt0174480,Autumn in New York (2000),2000,4.9,10298,103 mins.,Romance|Drama,Autumn in New York,103
tt0308379,Dark Water (2002),2002,7.0,10288,101 mins.,Drama|Horror|Mystery|Thriller,Dark Water,101
tt0465203,Them (2006),2006,6.6,10284,77 mins.,Horror|Thriller,Them,77
tt0924129,Crossing Over (2009),2009,6.8,10281,113 mins.,Drama,Crossing Over,113
